Дата;Амп. (А);Амп. (B);Амп. (C)
30.04.2021;;0,19;0,13
01.05.2021;;0,1;0,11
02.05.2021;;0,09;0,1
03.05.2021;;0,15;0,14
04.05.2021;;0,11;0,11
05.05.2021;0,11;0,11;0,11
06.05.2021;0,12;0,13;0,13
07.05.2021;0,09;0,09;0,1
08.05.2021;0,12;0,14;0,14
09.05.2021;0,1;0,1;0,1
10.05.2021;0,09;0,09;0,1
11.05.2021;0,09;0,09;0,1
12.05.2021;0,11;0,11;0,1
13.05.2021;0,09;0,09;0,1
14.05.2021;0,11;0,11;0,11
15.05.2021;0,12;0,12;0,11
16.05.2021;0,09;0,12;0,1
17.05.2021;0,09;0,09;0,1
18.05.2021;0,1;0,09;0,1
19.05.2021;0,09;0,09;0,1
20.05.2021;0,11;0,12;0,1
21.05.2021;0,15;0,16;0,14
22.05.2021;0,09;0,09;0,1
23.05.2021;0,09;0,09;0,1
24.05.2021;0,1;0,09;0,1
25.05.2021;0,09;0,09;0,1
26.05.2021;0,11;0,12;0,12
27.05.2021;0,12;0,13;0,12
28.05.2021;0,11;0,11;0,11
29.05.2021;0,11;0,12;0,12
30.05.2021;0,09;0,09;0,1
31.05.2021;0,09;0,09;0,1
01.06.2021;0,1;0,1;0,11
02.06.2021;0,09;0,09;0,1
03.06.2021;0,09;0,09;0,1
04.06.2021;0,09;0,09;0,1
05.06.2021;0,09;0,09;0,1
06.06.2021;0,12;0,12;0,13
07.06.2021;0,11;0,12;0,12
08.06.2021;0,11;0,11;0,11
09.06.2021;0,14;0,18;0,13
10.06.2021;0,11;0,12;0,13
11.06.2021;0,12;0,12;0,15
12.06.2021;0,12;0,12;0,13
13.06.2021;0,11;0,1;0,11
14.06.2021;0,09;0,09;0,1
15.06.2021;0,11;0,11;0,11
16.06.2021;0,1;0,09;0,1
17.06.2021;0,09;0,11;0,1
18.06.2021;0,1;0,09;0,1
19.06.2021;0,09;0,09;0,1
20.06.2021;0,09;0,09;0,1
21.06.2021;0,09;0,09;0,1
22.06.2021;0,1;0,09;0,1
23.06.2021;0,1;0,09;0,1
24.06.2021;0,1;0,09;0,1
25.06.2021;0,1;0,09;0,1
26.06.2021;0,11;0,11;0,1
27.06.2021;0,13;0,14;0,12
28.06.2021;0,27;0,26;0,25
29.06.2021;0,11;0,11;0,12
30.06.2021;0,12;0,12;0,12
01.07.2021;0,11;0,12;0,11
02.07.2021;0,09;0,09;0,1
03.07.2021;0,1;0,09;0,1
04.07.2021;0,09;0,09;0,1
05.07.2021;0,09;0,09;0,1
06.07.2021;0,09;0,09;0,1
07.07.2021;0,09;0,09;0,1
08.07.2021;0,09;0,09;0,1
09.07.2021;0,1;0,09;0,1
10.07.2021;0,1;0,09;0,1
11.07.2021;0,11;0,11;0,11
12.07.2021;0,1;0,09;0,1
13.07.2021;0,09;0,09;0,1
14.07.2021;0,1;0,09;0,1
15.07.2021;0,18;0,19;0,16
16.07.2021;0,1;0,1;0,11
17.07.2021;0,12;0,11;0,11
18.07.2021;0,11;0,12;0,11
19.07.2021;0,11;0,12;0,12
20.07.2021;0,09;0,09;0,1
21.07.2021;0,09;0,09;0,1
22.07.2021;0,1;0,09;0,1
23.07.2021;0,1;0,11;0,1
24.07.2021;0,09;0,09;0,1
25.07.2021;0,09;0,09;0,1
26.07.2021;0,09;0,09;0,1
27.07.2021;0,1;0,09;0,11
28.07.2021;0,12;0,13;0,12
29.07.2021;0,14;0,16;0,13
30.07.2021;0,18;0,19;0,19
31.07.2021;0,1;0,11;0,11
01.08.2021;0,09;0,09;0,11
02.08.2021;0,12;0,15;0,12
03.08.2021;0,1;0,1;0,11
04.08.2021;0,09;0,09;0,11
05.08.2021;0,11;0,11;0,13
06.08.2021;;0,11;0,12
07.08.2021;0,09;;0,11
08.08.2021;;;0,12
09.08.2021;;;0,12
10.08.2021;;;0,11
11.08.2021;;;0,15
12.08.2021;;;0,14
13.08.2021;;;0,12
14.08.2021;;;0,11
15.08.2021;;;0,1
16.08.2021;;;0,11
17.08.2021;;;0,11
18.08.2021;;;0,19
19.08.2021;;;0,11
20.08.2021;;;0,11
21.08.2021;;;0,11
22.08.2021;;;0,12
23.08.2021;;;0,11
24.08.2021;;;0,11
25.08.2021;;;0,11
26.08.2021;;;0,13
27.08.2021;;;0,12
28.08.2021;;;0,1
29.08.2021;;;0,1
30.08.2021;;;0,12
31.08.2021;;;0,12
01.09.2021;;;0,16
02.09.2021;;;0,1
03.09.2021;;;0,14
04.09.2021;;;0,11
05.09.2021;;;0,1
06.09.2021;;;0,1
07.09.2021;;;0,13
08.09.2021;;;0,14
09.09.2021;;;0,11
10.09.2021;;;0,11
11.09.2021;;;0,12
12.09.2021;;;0,12
13.09.2021;;;0,11
14.09.2021;;;0,1
15.09.2021;;;0,1
16.09.2021;;;0,11
17.09.2021;;;0,11
18.09.2021;;;0,11
19.09.2021;;;0,11
20.09.2021;;;0,12
21.09.2021;;;0,12
22.09.2021;;;0,11
23.09.2021;;;0,13
24.09.2021;;;0,12
25.09.2021;;;0,14
26.09.2021;;;0,14
27.09.2021;;;0,11
28.09.2021;;;0,11
29.09.2021;;;0,11
30.09.2021;;;0,1
01.10.2021;;;0,11
02.10.2021;;;0,12
03.10.2021;;;0,1
04.10.2021;;;0,1
05.10.2021;;;0,12
07.10.2021;;;0,1
08.10.2021;;;0,1
09.10.2021;;;0,11
10.10.2021;;;0,1
11.10.2021;;;0,1
12.10.2021;;;0,1
13.10.2021;;;0,14
14.10.2021;;;0,14
15.10.2021;;;0,15
16.10.2021;;;0,14
17.10.2021;;;0,11
18.10.2021;;;0,13
19.10.2021;;;0,1
20.10.2021;;;0,15
21.10.2021;;;0,1
22.10.2021;;;0,13
23.10.2021;;;0,13
24.10.2021;;;0,12
25.10.2021;;;0,1
26.10.2021;;;0,1
27.10.2021;;;0,1
28.10.2021;;;0,14
29.10.2021;;;0,12
30.10.2021;;;0,1
31.10.2021;;;0,1
01.11.2021;;;0,11
02.11.2021;;;0,11
03.11.2021;;;0,11
04.11.2021;;;0,14
05.11.2021;;;0,15
06.11.2021;;;0,12
07.11.2021;;;0,13
08.11.2021;;;0,13
09.11.2021;;;0,12
10.11.2021;;;0,1
11.11.2021;;;0,13
12.11.2021;;;0,13
13.11.2021;;;0,11
14.11.2021;;;0,12
15.11.2021;;;0,11
16.11.2021;;;0,1
17.11.2021;;;0,11
18.11.2021;;;0,12
19.11.2021;;;0,14
20.11.2021;;;0,14
21.11.2021;;;0,12
22.11.2021;;;0,11
23.11.2021;;;0,1
24.11.2021;;;0,12
25.11.2021;;;0,12
26.11.2021;;;0,13
27.11.2021;;;0,13
28.11.2021;;;0,14
29.11.2021;;;0,12
30.11.2021;;;0,13
01.12.2021;;;0,1
02.12.2021;;;0,1
03.12.2021;;;0,12
04.12.2021;;;0,1
05.12.2021;;;0,11
06.12.2021;;;0,11
07.12.2021;;;0,12
08.12.2021;;;0,11
09.12.2021;;;0,1
10.12.2021;;;0,1
11.12.2021;;;0,11
12.12.2021;;;0,13
13.12.2021;;;0,13
14.12.2021;;;0,13
15.12.2021;;;0,14
16.12.2021;;;0,17
17.12.2021;;;0,14
18.12.2021;;;0,13
19.12.2021;;;0,13
20.12.2021;;;0,12
21.12.2021;;;0,11
22.12.2021;;;0,11
23.12.2021;;;0,11
24.12.2021;;;0,12
25.12.2021;;;0,12
26.12.2021;;;0,13
27.12.2021;;;0,11
28.12.2021;;;0,12
29.12.2021;;;0,12
30.12.2021;;;0,13
31.12.2021;;;0,14
01.01.2022;;;0,14
02.01.2022;;;0,13
03.01.2022;;;0,12
04.01.2022;;;0,12
05.01.2022;;;0,13
06.01.2022;;;0,14
07.01.2022;;;0,16
08.01.2022;;;0,12
09.01.2022;;;0,12
10.01.2022;;;0,13
11.01.2022;;;0,14
14.01.2022;;;0,14
15.01.2022;;;0,14
16.01.2022;;;0,14
17.01.2022;;;0,15
18.01.2022;;;0,14
19.01.2022;;;0,14
20.01.2022;;;0,16
21.01.2022;;;0,14
22.01.2022;;;0,13
23.01.2022;;;0,13
24.01.2022;;;0,14
25.01.2022;;;0,15
26.01.2022;;;0,14
27.01.2022;;;0,14
28.01.2022;;;0,14
29.01.2022;;;0,14
30.01.2022;;;0,15
31.01.2022;;;0,15
01.02.2022;;;0,15
02.02.2022;;;0,14
03.02.2022;;;0,14
04.02.2022;;;0,15
05.02.2022;;;0,15
06.02.2022;;;0,16
07.02.2022;;;0,2
08.02.2022;;;0,2
09.02.2022;;;0,13
10.02.2022;;;0,14
11.02.2022;;;0,11
12.02.2022;;;0,12
13.02.2022;;;0,11
14.02.2022;;;0,1
15.02.2022;;;0,11
16.02.2022;;;0,11
17.02.2022;;;0,2
18.02.2022;;;0,18
19.02.2022;;;0,15
20.02.2022;;;0,14
21.02.2022;;;0,14
22.02.2022;;;0,14
23.02.2022;;;0,13
24.02.2022;;;0,11
25.02.2022;;;0,11
26.02.2022;;;0,11
27.02.2022;;;0,1
28.02.2022;;;0,11
01.03.2022;;;0,11
02.03.2022;;;0,1
03.03.2022;;;0,1
04.03.2022;;;0,11
05.03.2022;;;0,11
06.03.2022;;;0,11
07.03.2022;;;0,11
08.03.2022;;;0,11
09.03.2022;;;0,1
10.03.2022;;;0,1
11.03.2022;;;0,1
12.03.2022;;;0,12
13.03.2022;;;0,13
14.03.2022;;;0,13
15.03.2022;;;0,1
16.03.2022;;;0,12
17.03.2022;;;0,11
18.03.2022;;;0,1
19.03.2022;;;0,1
20.03.2022;;;0,11
21.03.2022;;;0,13
22.03.2022;;;0,11
23.03.2022;;;0,1
24.03.2022;;;0,11
25.03.2022;;;0,14
26.03.2022;;;0,23
27.03.2022;;;0,11
28.03.2022;;;0,13
29.03.2022;;;0,12
30.03.2022;;;0,12
31.03.2022;;;0,12
01.04.2022;;;0,13
02.04.2022;;;0,15
03.04.2022;;;0,14
04.04.2022;;;0,1
05.04.2022;;;0,16
06.04.2022;;;0,17
07.04.2022;;;0,15
08.04.2022;;;0,13
09.04.2022;;;0,16
10.04.2022;;;0,15
11.04.2022;;;0,12
12.04.2022;;;0,12
13.04.2022;;;0,12
14.04.2022;;;0,11
15.04.2022;;;0,07
16.04.2022;;;0,07
17.04.2022;;;0,07
18.04.2022;;;0,1
19.04.2022;;;0,1
20.04.2022;;;0,1
21.04.2022;;;0,11
22.04.2022;;;0,11
23.04.2022;;;0,11
24.04.2022;;;0,12
25.04.2022;;;0,13
26.04.2022;;;0,12
27.04.2022;;;0,11
28.04.2022;;;0,1
29.04.2022;;;0,13
30.04.2022;;;0,11
01.05.2022;;;0,1
02.05.2022;;;0,1
03.05.2022;;;0,11
04.05.2022;;;0,11
05.05.2022;;;0,1
06.05.2022;;;0,1
07.05.2022;;;0,1
08.05.2022;;;0,21
09.05.2022;;;0,11
10.05.2022;;;0,1
11.05.2022;;;0,1
12.05.2022;;;0,15
13.05.2022;;;0,13
14.05.2022;;;0,1
15.05.2022;;;0,12
16.05.2022;;;0,11
17.05.2022;;;0,13
18.05.2022;;;0,1
19.05.2022;;;0,11
20.05.2022;;;0,11
21.05.2022;;;0,1
22.05.2022;;;0,1
23.05.2022;;;0,1
24.05.2022;;;0,1
25.05.2022;;;0,1
26.05.2022;;;0,11
27.05.2022;;;0,13
28.05.2022;;;0,11
29.05.2022;;;0,16
30.05.2022;;;0,1
31.05.2022;;;0,12
01.06.2022;;;0,11
02.06.2022;;;0,1
03.06.2022;;;0,17
04.06.2022;;;0,1
05.06.2022;;;0,11
06.06.2022;;;0,1
07.06.2022;;;0,11
08.06.2022;;;0,11
09.06.2022;;;0,11
10.06.2022;;;0,1
11.06.2022;;;0,11
12.06.2022;;;0,11
13.06.2022;;;0,2
14.06.2022;;;0,19
15.06.2022;;;0,11
16.06.2022;;;0,1
17.06.2022;;;0,15
18.06.2022;;;0,11
19.06.2022;;;0,11
20.06.2022;;;0,1
21.06.2022;;;0,11
22.06.2022;;;0,11
23.06.2022;;;0,1
24.06.2022;;;0,1
