Дата;Амп. (А);Пики (А);Амп. (B);Пики (B);Амп. (C);Пики (C);
01.01.2023 0:00:00;;;;;;;
02.01.2023 0:00:00;;;;;;;
03.01.2023 0:00:00;;;;;;;
04.01.2023 0:00:00;;;;;;;
05.01.2023 0:00:00;;;;;;;
06.01.2023 0:00:00;;;;;;;
07.01.2023 0:00:00;;;;;;;
08.01.2023 0:00:00;;;;;;;
09.01.2023 0:00:00;;;;;;;
10.01.2023 0:00:00;;;;;;;
11.01.2023 0:00:00;;;;;;;
12.01.2023 0:00:00;;;;;;;
13.01.2023 0:00:00;;;;;;;
14.01.2023 0:00:00;;;;;;;
15.01.2023 0:00:00;;;;;;;
16.01.2023 0:00:00;;;;;;;
17.01.2023 0:00:00;;;;;;;
18.01.2023 0:00:00;;;;;;;
19.01.2023 0:00:00;;;;;;;
20.01.2023 0:00:00;;;;;;;
21.01.2023 0:00:00;;;;;;;
22.01.2023 0:00:00;;;;;;;
23.01.2023 0:00:00;;;;;;;
24.01.2023 0:00:00;;;;;;;
25.01.2023 0:00:00;;;;;;;
26.01.2023 0:00:00;;;;;;;
27.01.2023 0:00:00;;;;;;;
28.01.2023 0:00:00;;;;;;;
29.01.2023 0:00:00;;;;;;;
30.01.2023 0:00:00;;;;;;;
31.01.2023 0:00:00;;;;;;;
01.02.2023 0:00:00;;;;;;;
02.02.2023 0:00:00;;;;;;;
03.02.2023 0:00:00;;;;;;;
04.02.2023 0:00:00;;;;;;;
05.02.2023 0:00:00;;;;;;;
06.02.2023 0:00:00;;;;;;;
07.02.2023 0:00:00;;;;;;;
08.02.2023 0:00:00;;;;;;;
09.02.2023 0:00:00;;;;;;;
10.02.2023 0:00:00;;;;;;;
11.02.2023 0:00:00;;;;;;;
12.02.2023 0:00:00;;;;;;;
13.02.2023 0:00:00;;;;;;;
14.02.2023 0:00:00;;;;;;;
15.02.2023 0:00:00;;;;;;;
16.02.2023 0:00:00;;;;;;;
17.02.2023 0:00:00;;;;;;;
18.02.2023 0:00:00;;;;;;;
19.02.2023 0:00:00;;;;;;;
20.02.2023 0:00:00;;;;;;;
21.02.2023 0:00:00;;;;;;;
22.02.2023 0:00:00;;;;;;;
23.02.2023 0:00:00;;;;;;;
24.02.2023 0:00:00;;;;;;;
25.02.2023 0:00:00;;;;;;;
26.02.2023 0:00:00;;;;;;;
27.02.2023 0:00:00;;;;;;;
28.02.2023 0:00:00;;;;;;;
01.03.2023 0:00:00;;;;;;;
02.03.2023 0:00:00;;;;;;;
03.03.2023 0:00:00;;;;;;;
04.03.2023 0:00:00;;;;;;;
05.03.2023 0:00:00;;;;;;;
06.03.2023 0:00:00;;;;;;;
07.03.2023 0:00:00;;;;;;;
08.03.2023 0:00:00;;;;;;;
09.03.2023 0:00:00;;;;;;;
10.03.2023 0:00:00;;;;;;;
11.03.2023 0:00:00;;;;;;;
12.03.2023 0:00:00;;;;;;;
13.03.2023 0:00:00;;;;;;;
14.03.2023 0:00:00;;;;;;;
15.03.2023 0:00:00;;;;;;;
16.03.2023 0:00:00;;;;;;;
17.03.2023 0:00:00;;;;;;;
18.03.2023 0:00:00;;;;;;;
19.03.2023 0:00:00;;;;;;;
20.03.2023 0:00:00;;;;;;;
21.03.2023 0:00:00;;;;;;;
22.03.2023 0:00:00;;;;;;;
23.03.2023 0:00:00;;;;;;;
24.03.2023 0:00:00;;;;;;;
25.03.2023 0:00:00;;;;;;;
26.03.2023 0:00:00;;;;;;;
27.03.2023 0:00:00;;;;;;;
28.03.2023 0:00:00;;;;;;;
29.03.2023 0:00:00;;;;;;;
30.03.2023 0:00:00;;;;;;;
31.03.2023 0:00:00;;;;;;;
01.04.2023 0:00:00;;;;;;;
02.04.2023 0:00:00;;;;;;;
03.04.2023 0:00:00;;;;;;;
04.04.2023 0:00:00;;;;;;;
05.04.2023 0:00:00;;;;;;;
06.04.2023 0:00:00;;;;;;;
07.04.2023 0:00:00;;;;;;;
08.04.2023 0:00:00;;;;;;;
09.04.2023 0:00:00;;;;;;;
10.04.2023 0:00:00;;;;;;;
11.04.2023 0:00:00;;;;;;;
12.04.2023 0:00:00;;;;;;;
13.04.2023 0:00:00;;;;;;;
14.04.2023 0:00:00;;;;;;;
15.04.2023 0:00:00;;;;;;;
16.04.2023 0:00:00;;;;;;;
17.04.2023 0:00:00;;;;;;;
18.04.2023 0:00:00;;;;;;;
19.04.2023 0:00:00;;;;;;;
20.04.2023 0:00:00;;;;;;;
21.04.2023 0:00:00;;;;;;;
22.04.2023 0:00:00;;;;;;;
23.04.2023 0:00:00;;;;;;;
24.04.2023 0:00:00;;;;;;;
25.04.2023 0:00:00;;;;;;;
26.04.2023 0:00:00;;;;;;;
27.04.2023 0:00:00;;;;;;;
28.04.2023 0:00:00;;;;;;;
29.04.2023 0:00:00;;;;;;;
30.04.2023 0:00:00;;;;;;;
01.05.2023 0:00:00;;;;;;;
02.05.2023 0:00:00;;;;;;;
03.05.2023 0:00:00;;;;;;;
04.05.2023 0:00:00;;;;;;;
05.05.2023 0:00:00;;;;;;;
06.05.2023 0:00:00;;;;;;;
07.05.2023 0:00:00;;;;;;;
08.05.2023 0:00:00;;;;;;;
09.05.2023 0:00:00;;;;;;;
10.05.2023 0:00:00;;;;;;;
11.05.2023 0:00:00;;;;;;;
12.05.2023 0:00:00;;;;;;;
13.05.2023 0:00:00;;;;;;;
14.05.2023 0:00:00;;;;;;;
15.05.2023 0:00:00;;;;;;;
16.05.2023 0:00:00;;;;;;;
17.05.2023 0:00:00;;;;;;;
18.05.2023 0:00:00;;;;;;;
19.05.2023 0:00:00;;;;;;;
20.05.2023 0:00:00;;;;;;;
21.05.2023 0:00:00;;;;;;;
22.05.2023 0:00:00;;;;;;;
23.05.2023 0:00:00;;;;;;;
24.05.2023 0:00:00;;;;;;;
25.05.2023 0:00:00;;;;;;;
26.05.2023 0:00:00;;;;;;;
27.05.2023 0:00:00;;;;;;;
28.05.2023 0:00:00;;;;;;;
29.05.2023 0:00:00;;;;;;;
30.05.2023 0:00:00;;;;;;;
31.05.2023 0:00:00;;;;;;;
01.06.2023 0:00:00;;;;;;;
02.06.2023 0:00:00;;;;;;;
03.06.2023 0:00:00;;;;;;;
04.06.2023 0:00:00;;;;;;;
05.06.2023 0:00:00;;;;;;;
06.06.2023 0:00:00;;;;;;;
07.06.2023 0:00:00;;;;;;;
08.06.2023 0:00:00;;;;;;;
09.06.2023 0:00:00;;;;;;;
10.06.2023 0:00:00;;;;;;;
11.06.2023 0:00:00;;;;;;;
12.06.2023 0:00:00;;;;;;;
13.06.2023 0:00:00;;;;;;;
14.06.2023 0:00:00;;;;;;;
15.06.2023 0:00:00;;;;;;;
16.06.2023 0:00:00;;;;;;;
17.06.2023 0:00:00;;;;;;;
18.06.2023 0:00:00;;;;;;;
19.06.2023 0:00:00;;;;;;;
20.06.2023 0:00:00;;;;;;;
21.06.2023 0:00:00;;;;;;;
22.06.2023 0:00:00;;;;;;;
23.06.2023 0:00:00;;;;;;;
24.06.2023 0:00:00;;;;;;;
25.06.2023 0:00:00;;;;;;;
26.06.2023 0:00:00;;;;;;;
27.06.2023 0:00:00;;;;;;;
28.06.2023 0:00:00;;;;;;;
29.06.2023 0:00:00;;;;;;;
30.06.2023 0:00:00;;;;;;;
01.07.2023 0:00:00;;;;;;;
02.07.2023 0:00:00;;;;;;;
03.07.2023 0:00:00;;;;;;;
04.07.2023 0:00:00;;;;;;;
05.07.2023 0:00:00;;;;;;;
06.07.2023 0:00:00;;;;;;;
07.07.2023 0:00:00;;;;;;;
08.07.2023 0:00:00;;;;;;;
09.07.2023 0:00:00;;;;;;;
10.07.2023 0:00:00;;;;;;;
11.07.2023 0:00:00;;;;;;;
12.07.2023 0:00:00;;;;;;;
13.07.2023 0:00:00;;;;;;;
14.07.2023 0:00:00;;;;;;;
15.07.2023 0:00:00;;;;;;;
16.07.2023 0:00:00;;;;;;;
17.07.2023 0:00:00;;;;;;;
18.07.2023 0:00:00;;;;;;;
19.07.2023 0:00:00;;;;;;;
20.07.2023 0:00:00;;;;;;;
21.07.2023 0:00:00;;;;;;;
22.07.2023 0:00:00;;;;;;;
23.07.2023 0:00:00;;;;;;;
24.07.2023 0:00:00;;;;;;;
25.07.2023 0:00:00;;;;;;;
26.07.2023 0:00:00;;;;;;;
27.07.2023 0:00:00;;;;;;;
28.07.2023 0:00:00;;;;;;;
29.07.2023 0:00:00;;;;;;;
30.07.2023 0:00:00;;;;;;;
31.07.2023 0:00:00;;;;;;;
01.08.2023 0:00:00;;;;;;;
02.08.2023 0:00:00;;;;;;;
03.08.2023 0:00:00;;;;;;;
04.08.2023 0:00:00;;;;;;;
05.08.2023 0:00:00;;;;;;;
06.08.2023 0:00:00;;;;;;;
07.08.2023 0:00:00;;;;;;;
08.08.2023 0:00:00;;;;;;;
09.08.2023 0:00:00;;;;;;;
10.08.2023 0:00:00;;;;;;;
11.08.2023 0:00:00;;;;;;;
12.08.2023 0:00:00;;;;;;;
13.08.2023 0:00:00;;;;;;;
14.08.2023 0:00:00;;;;;;;
15.08.2023 0:00:00;;;;;;;
16.08.2023 0:00:00;;;;;;;
17.08.2023 0:00:00;;;;;;;
18.08.2023 0:00:00;;;;;;;
19.08.2023 0:00:00;;;;;;;
20.08.2023 0:00:00;;;;;;;
21.08.2023 0:00:00;;;;;;;
22.08.2023 0:00:00;;;;;;;
23.08.2023 0:00:00;;;;;;;
24.08.2023 0:00:00;;;;;;;
25.08.2023 0:00:00;;;;;;;
26.08.2023 0:00:00;;;;;;;
27.08.2023 0:00:00;;;;;;;
28.08.2023 0:00:00;;;;;;;
29.08.2023 0:00:00;;;;;;;
30.08.2023 0:00:00;;;;;;;
31.08.2023 0:00:00;;;;;;;
01.09.2023 0:00:00;;;;;;;
02.09.2023 0:00:00;;;;;;;
03.09.2023 0:00:00;;;;;;;
04.09.2023 0:00:00;;;;;;;
05.09.2023 0:00:00;;;;;;;
06.09.2023 0:00:00;;;;;;;
07.09.2023 0:00:00;;;;;;;
08.09.2023 0:00:00;;;;;;;
09.09.2023 0:00:00;;;;;;;
10.09.2023 0:00:00;;;;;;;
11.09.2023 0:00:00;;;;;;;
12.09.2023 0:00:00;;;;;;;
13.09.2023 0:00:00;;;;;;;
14.09.2023 0:00:00;;;;;;;
15.09.2023 0:00:00;;;;;;;
16.09.2023 0:00:00;;;;;;;
17.09.2023 0:00:00;;;;;;;
18.09.2023 0:00:00;;;;;;;
19.09.2023 0:00:00;;;;;;;
20.09.2023 0:00:00;;;;;;;
21.09.2023 0:00:00;;;;;;;
22.09.2023 0:00:00;;;;;;;
23.09.2023 0:00:00;;;;;;;
24.09.2023 0:00:00;;;;;;;
25.09.2023 0:00:00;;;;;;;
26.09.2023 0:00:00;;;;;;;
27.09.2023 0:00:00;;;;;;;
28.09.2023 0:00:00;;;;;;;
29.09.2023 0:00:00;;;;;;;
30.09.2023 0:00:00;;;;;;;
01.10.2023 0:00:00;;;;;;;
02.10.2023 0:00:00;;;;;;;
03.10.2023 0:00:00;;;;;;;
04.10.2023 0:00:00;;;;;;;
05.10.2023 0:00:00;;;;;;;
06.10.2023 0:00:00;;;;;;;
07.10.2023 0:00:00;;;;;;;
08.10.2023 0:00:00;;;;;;;
09.10.2023 0:00:00;;;;;;;
10.10.2023 0:00:00;;;;;;;
11.10.2023 0:00:00;;;;;;;
12.10.2023 0:00:00;;;;;;;
13.10.2023 0:00:00;;;;;;;
14.10.2023 0:00:00;;;;;;;
15.10.2023 0:00:00;;;;;;;
16.10.2023 0:00:00;;;;;;;
17.10.2023 0:00:00;;;;;;;
18.10.2023 0:00:00;;;;;;;
19.10.2023 0:00:00;;;;;;;
20.10.2023 0:00:00;;;;;;;
21.10.2023 0:00:00;;;;;;;
22.10.2023 0:00:00;;;;;;;
23.10.2023 0:00:00;;;;;;;
24.10.2023 0:00:00;;;;;;;
25.10.2023 0:00:00;;;;;;;
26.10.2023 0:00:00;;;;;;;
27.10.2023 0:00:00;;;;;;;
28.10.2023 0:00:00;;;;;;;
29.10.2023 0:00:00;;;;;;;
30.10.2023 0:00:00;;;;;;;
31.10.2023 0:00:00;;;;;;;
01.11.2023 0:00:00;;;;;;;
02.11.2023 0:00:00;;;;;;;
03.11.2023 0:00:00;;;;;;;
04.11.2023 0:00:00;;;;;;;
05.11.2023 0:00:00;;;;;;;
06.11.2023 0:00:00;;;;;;;
07.11.2023 0:00:00;;;;;;;
08.11.2023 0:00:00;;;;;;;
09.11.2023 0:00:00;;;;;;;
10.11.2023 0:00:00;;;;;;;
11.11.2023 0:00:00;;;;;;;
12.11.2023 0:00:00;;;;;;;
13.11.2023 0:00:00;;;;;;;
14.11.2023 0:00:00;;;;;;;
15.11.2023 0:00:00;;;;;;;
16.11.2023 0:00:00;;;;;;;
17.11.2023 0:00:00;;;;;;;
18.11.2023 0:00:00;;;;;;;
19.11.2023 0:00:00;;;;;;;
20.11.2023 0:00:00;;;;;;;
21.11.2023 0:00:00;0,25;;0,34;;1,77;;
22.11.2023 0:00:00;2,16;;2,19;;1,53;;
23.11.2023 0:00:00;1,74;;1,06;;1,35;;
24.11.2023 0:00:00;2,16;;4,20;;3,11;;
25.11.2023 0:00:00;0,54;;0,44;;0,49;;
26.11.2023 0:00:00;2,16;;3,49;;3,45;;
27.11.2023 0:00:00;2,16;;1,73;;3,10;;
28.11.2023 0:00:00;2,16;;0,73;;1,77;;
29.11.2023 0:00:00;2,16;;4,11;;3,24;;
30.11.2023 0:00:00;2,16;;1,11;;2,28;;
01.12.2023 0:00:00;2,16;;0,86;;1,77;;
02.12.2023 0:00:00;2,16;;0,51;;0,92;;
03.12.2023 0:00:00;2,16;;2,19;;2,01;;
04.12.2023 0:00:00;2,16;;0,64;;0,80;;
05.12.2023 0:00:00;2,16;;1,46;;0,75;;
06.12.2023 0:00:00;2,16;;0,78;;0,77;;
07.12.2023 0:00:00;2,16;;1,00;;0,99;;
08.12.2023 0:00:00;2,16;;0,94;;1,28;;
09.12.2023 0:00:00;0,44;;0,96;;0,96;;
10.12.2023 0:00:00;0,49;;0,77;;0,79;;
11.12.2023 0:00:00;0,57;;1,34;;2,53;;
12.12.2023 0:00:00;2,16;;1,61;;3,27;;
13.12.2023 0:00:00;2,16;;0,83;;1,28;;
14.12.2023 0:00:00;2,16;;0,76;;1,31;;
15.12.2023 0:00:00;0,75;;2,21;;2,86;;
16.12.2023 0:00:00;0,70;;2,52;;2,95;;
17.12.2023 0:00:00;2,16;;4,22;;3,35;;
18.12.2023 0:00:00;0,48;;4,40;;2,38;;
19.12.2023 0:00:00;2,16;;4,27;;2,87;;
20.12.2023 0:00:00;2,16;;2,91;;2,57;;
21.12.2023 0:00:00;2,16;;1,73;;2,60;;
22.12.2023 0:00:00;1,08;;4,19;;2,77;;
23.12.2023 0:00:00;0,40;;3,14;;2,51;;
24.12.2023 0:00:00;2,16;;0,87;;1,00;;
25.12.2023 0:00:00;2,16;;1,19;;0,90;;
26.12.2023 0:00:00;0,39;;1,80;;1,09;;
27.12.2023 0:00:00;0,35;;3,13;;2,00;;
28.12.2023 0:00:00;2,16;;1,55;;1,24;;
29.12.2023 0:00:00;2,16;;2,50;;2,38;;
30.12.2023 0:00:00;2,16;;2,04;;1,74;;
31.12.2023 0:00:00;0,61;;2,80;;3,38;;
01.01.2024 0:00:00;0,40;;1,56;;0,68;;
02.01.2024 0:00:00;0,44;;1,25;;3,15;;
03.01.2024 0:00:00;0,68;;0,56;;0,44;;
04.01.2024 0:00:00;0,28;;2,19;;0,37;;
05.01.2024 0:00:00;0,28;;0,41;;0,31;;
06.01.2024 0:00:00;2,16;;0,75;;0,73;;
07.01.2024 0:00:00;2,16;;0,69;;0,46;;
08.01.2024 0:00:00;2,16;;0,43;;0,32;;
09.01.2024 0:00:00;2,16;;0,60;;0,54;;
10.01.2024 0:00:00;2,16;;0,70;;1,77;;
11.01.2024 0:00:00;0,47;;4,13;;1,88;;
12.01.2024 0:00:00;0,29;;0,46;;0,36;;
13.01.2024 0:00:00;2,16;;0,36;;0,27;;
14.01.2024 0:00:00;2,16;;0,43;;1,77;;
15.01.2024 0:00:00;;;;;;;
16.01.2024 0:00:00;;;;;;;
17.01.2024 0:00:00;;;;;;;
18.01.2024 0:00:00;;;;;;;
19.01.2024 0:00:00;;;;;;;
20.01.2024 0:00:00;;;;;;;
21.01.2024 0:00:00;;;;;;;
22.01.2024 0:00:00;;;;;;;
23.01.2024 0:00:00;;;;;;;
24.01.2024 0:00:00;;;;;;;
25.01.2024 0:00:00;;;;;;;
26.01.2024 0:00:00;;;;;;;
27.01.2024 0:00:00;;;;;;;
28.01.2024 0:00:00;;;;;;;
29.01.2024 0:00:00;;;;;;;
30.01.2024 0:00:00;;;;;;;
31.01.2024 0:00:00;;;;;;;
01.02.2024 0:00:00;;;;;;;
02.02.2024 0:00:00;;;;;;;
03.02.2024 0:00:00;;;;;;;
04.02.2024 0:00:00;;;;;;;
05.02.2024 0:00:00;;;;;;;
06.02.2024 0:00:00;;;;;;;
07.02.2024 0:00:00;;;;;;;
08.02.2024 0:00:00;;;;;;;
09.02.2024 0:00:00;;;;;;;
10.02.2024 0:00:00;;;;;;;
11.02.2024 0:00:00;;;;;;;
12.02.2024 0:00:00;;;;;;;
13.02.2024 0:00:00;;;;;;;
14.02.2024 0:00:00;;;;;;;
15.02.2024 0:00:00;;;;;;;
16.02.2024 0:00:00;;;;;;;
17.02.2024 0:00:00;;;;;;;
18.02.2024 0:00:00;;;;;;;
19.02.2024 0:00:00;;;;;;;
20.02.2024 0:00:00;;;;;;;
21.02.2024 0:00:00;;;;;;;
22.02.2024 0:00:00;;;;;;;
23.02.2024 0:00:00;;;;;;;
24.02.2024 0:00:00;;;;;;;
25.02.2024 0:00:00;;;;;;;
26.02.2024 0:00:00;;;;;;;
27.02.2024 0:00:00;;;;;;;
28.02.2024 0:00:00;;;;;;;
29.02.2024 0:00:00;;;;;;;
01.03.2024 0:00:00;;;;;;;
02.03.2024 0:00:00;;;;;;;
03.03.2024 0:00:00;;;;;;;
04.03.2024 0:00:00;;;;;;;
05.03.2024 0:00:00;;;;;;;
06.03.2024 0:00:00;;;;;;;
07.03.2024 0:00:00;;;;;;;
08.03.2024 0:00:00;;;;;;;
09.03.2024 0:00:00;;;;;;;
10.03.2024 0:00:00;;;;;;;
11.03.2024 0:00:00;;;;;;;
12.03.2024 0:00:00;;;;;;;
13.03.2024 0:00:00;;;;;;;
14.03.2024 0:00:00;;;;;;;
15.03.2024 0:00:00;;;;;;;
16.03.2024 0:00:00;;;;;;;
17.03.2024 0:00:00;;;;;;;
18.03.2024 0:00:00;;;;;;;
19.03.2024 0:00:00;0,45;;;;;;
20.03.2024 0:00:00;0,45;;0,95;;1,72;;
21.03.2024 0:00:00;0,48;;1,05;;2,78;;
22.03.2024 0:00:00;0,46;;0,91;;2,38;;
23.03.2024 0:00:00;0,49;;1,37;;2,61;;
24.03.2024 0:00:00;1,58;;4,13;;3,18;;
25.03.2024 0:00:00;0,90;;0,91;;1,02;;
26.03.2024 0:00:00;0,93;;1,23;;2,12;;
27.03.2024 0:00:00;0,57;;0,83;;1,00;;
28.03.2024 0:00:00;0,47;;0,71;;0,76;;
29.03.2024 0:00:00;0,55;;0,95;;1,07;;
30.03.2024 0:00:00;0,51;;0,60;;0,70;;
31.03.2024 0:00:00;0,35;;0,40;;0,43;;
01.04.2024 0:00:00;0,50;;0,61;;0,75;;
02.04.2024 0:00:00;0,31;;0,31;;0,31;;
03.04.2024 0:00:00;0,23;;0,24;;0,18;;
04.04.2024 0:00:00;0,86;;1,47;;1,25;;
05.04.2024 0:00:00;0,71;;1,25;;1,25;;
06.04.2024 0:00:00;0,34;;0,60;;0,77;;
07.04.2024 0:00:00;0,32;;0,27;;0,28;;
08.04.2024 0:00:00;0,50;;0,58;;0,81;;
09.04.2024 0:00:00;0,02;;0,01;;0,01;;
10.04.2024 0:00:00;0,01;;0,01;;0,01;;
11.04.2024 0:00:00;0,01;;0,01;;0,01;;
12.04.2024 0:00:00;0,25;;0,26;;0,20;;
13.04.2024 0:00:00;0,40;;0,45;;0,72;;
14.04.2024 0:00:00;0,52;;0,65;;0,75;;
15.04.2024 0:00:00;1,78;;2,43;;2,50;;
16.04.2024 0:00:00;0,52;;0,44;;0,80;;
17.04.2024 0:00:00;0,94;;1,41;;1,49;;
18.04.2024 0:00:00;0,93;;1,56;;1,48;;
19.04.2024 0:00:00;0,47;;0,46;;0,41;;
20.04.2024 0:00:00;0,49;;0,54;;0,57;;
21.04.2024 0:00:00;0,33;;0,35;;0,53;;
22.04.2024 0:00:00;0,42;;0,46;;0,40;;
23.04.2024 0:00:00;0,49;;0,92;;1,73;;
24.04.2024 0:00:00;0,60;;0,76;;0,89;;
25.04.2024 0:00:00;0,50;;0,67;;1,19;;
26.04.2024 0:00:00;0,34;;0,31;;0,44;;
27.04.2024 0:00:00;0,70;;1,67;;2,25;;
28.04.2024 0:00:00;0,66;;0,68;;0,82;;
29.04.2024 0:00:00;0,62;;0,38;;0,50;;
30.04.2024 0:00:00;0,28;;0,27;;0,26;;
01.05.2024 0:00:00;0,23;;0,23;;0,42;;
02.05.2024 0:00:00;0,29;;0,29;;0,27;;
03.05.2024 0:00:00;0,42;;0,37;;0,48;;
04.05.2024 0:00:00;0,25;;0,27;;0,50;;
05.05.2024 0:00:00;0,55;;0,60;;0,64;;
06.05.2024 0:00:00;0,60;;0,70;;1,78;;
07.05.2024 0:00:00;0,99;;2,84;;2,88;;
08.05.2024 0:00:00;0,55;;0,44;;0,59;;
09.05.2024 0:00:00;0,38;;0,30;;0,37;;
10.05.2024 0:00:00;0,57;;0,67;;0,82;;
11.05.2024 0:00:00;2,00;;2,88;;3,22;;
12.05.2024 0:00:00;0,34;;0,30;;0,35;;
13.05.2024 0:00:00;0,26;;0,24;;0,54;;
14.05.2024 0:00:00;0,24;;0,22;;0,20;;
15.05.2024 0:00:00;0,24;;0,23;;0,51;;
16.05.2024 0:00:00;0,70;;1,90;;2,07;;
17.05.2024 0:00:00;0,84;;1,53;;1,19;;
18.05.2024 0:00:00;0,60;;0,45;;0,67;;
19.05.2024 0:00:00;0,58;;0,32;;0,56;;
20.05.2024 0:00:00;0,36;;0,32;;0,44;;
21.05.2024 0:00:00;0,34;;0,28;;0,33;;
22.05.2024 0:00:00;0,35;;0,29;;0,46;;
23.05.2024 0:00:00;0,55;;0,48;;0,71;;
24.05.2024 0:00:00;0,20;;0,19;;0,52;;
25.05.2024 0:00:00;0,20;;0,22;;0,18;;
26.05.2024 0:00:00;0,25;;0,28;;0,32;;
27.05.2024 0:00:00;0,43;;0,40;;0,60;;
28.05.2024 0:00:00;0,19;;0,16;;0,12;;
29.05.2024 0:00:00;0,19;;0,16;;0,12;;
30.05.2024 0:00:00;0,19;;0,16;;0,12;;
31.05.2024 0:00:00;0,26;;0,23;;0,17;;
01.06.2024 0:00:00;0,31;;0,27;;0,20;;
02.06.2024 0:00:00;0,32;;0,29;;0,20;;
03.06.2024 0:00:00;0,29;;0,25;;0,18;;
04.06.2024 0:00:00;0,28;;0,24;;0,17;;
05.06.2024 0:00:00;0,34;;0,31;;0,21;;
06.06.2024 0:00:00;0,36;;0,30;;0,23;;
07.06.2024 0:00:00;0,36;;0,31;;0,23;;
08.06.2024 0:00:00;0,28;;0,24;;0,18;;
09.06.2024 0:00:00;0,27;;0,23;;0,47;;
10.06.2024 0:00:00;0,34;;0,28;;0,21;;
11.06.2024 0:00:00;0,21;;0,19;;0,13;;
12.06.2024 0:00:00;0,43;;0,39;;0,28;;
13.06.2024 0:00:00;0,44;;0,38;;0,27;;
14.06.2024 0:00:00;0,41;;0,36;;0,25;;
15.06.2024 0:00:00;0,39;;0,36;;0,25;;
16.06.2024 0:00:00;1,10;;1,00;;0,82;;
17.06.2024 0:00:00;0,41;;0,43;;0,27;;
18.06.2024 0:00:00;0,52;;0,47;;0,35;;
19.06.2024 0:00:00;0,32;;0,29;;0,21;;
20.06.2024 0:00:00;0,39;;0,39;;0,28;;
21.06.2024 0:00:00;0,35;;0,35;;0,25;;
22.06.2024 0:00:00;0,24;;0,21;;0,16;;
23.06.2024 0:00:00;0,23;;0,20;;0,14;;
24.06.2024 0:00:00;0,29;;0,28;;0,19;;
25.06.2024 0:00:00;0,23;;0,20;;0,15;;
26.06.2024 0:00:00;0,32;;0,31;;0,21;;
27.06.2024 0:00:00;0,27;;0,24;;0,18;;
28.06.2024 0:00:00;0,24;;0,21;;0,15;;
29.06.2024 0:00:00;0,22;;0,19;;0,14;;
30.06.2024 0:00:00;0,25;;0,22;;0,16;;
01.07.2024 0:00:00;0,01;;0,01;;0,01;;
02.07.2024 0:00:00;0,02;;0,01;;0,01;;
03.07.2024 0:00:00;0,01;;0,01;;0,01;;
04.07.2024 0:00:00;0,01;;0,01;;0,01;;
05.07.2024 0:00:00;0,19;;0,16;;0,13;;
06.07.2024 0:00:00;0,25;;0,21;;0,16;;
07.07.2024 0:00:00;0,21;;0,18;;0,13;;
08.07.2024 0:00:00;0,21;;0,18;;0,13;;
09.07.2024 0:00:00;0,19;;0,16;;0,46;;
10.07.2024 0:00:00;;;;;;;
11.07.2024 0:00:00;;;;;;;
12.07.2024 0:00:00;0,19;;0,16;;0,12;;
13.07.2024 0:00:00;0,24;;0,21;;0,15;;
14.07.2024 0:00:00;0,25;;0,22;;0,16;;
15.07.2024 0:00:00;0,27;;0,24;;0,17;;
16.07.2024 0:00:00;0,28;;0,24;;0,18;;
17.07.2024 0:00:00;0,25;;0,21;;0,16;;
18.07.2024 0:00:00;0,34;;0,33;;0,22;;
19.07.2024 0:00:00;0,41;;0,39;;0,29;;
20.07.2024 0:00:00;0,26;;0,23;;0,17;;
21.07.2024 0:00:00;0,23;;0,19;;0,14;;
22.07.2024 0:00:00;0,22;;0,19;;0,14;;
23.07.2024 0:00:00;0,31;;0,26;;0,21;;
24.07.2024 0:00:00;0,23;;0,19;;0,14;;
25.07.2024 0:00:00;0,23;;0,20;;0,14;;
26.07.2024 0:00:00;0,21;;0,17;;0,13;;
27.07.2024 0:00:00;0,19;;0,15;;0,12;;
28.07.2024 0:00:00;0,21;;0,18;;0,13;;
29.07.2024 0:00:00;0,34;;0,30;;0,22;;
30.07.2024 0:00:00;0,43;;0,46;;0,25;;
31.07.2024 0:00:00;;;;;;;
